-2.2701f,	-0.200100000000001f,	2.77629999999999f,
0.508600000000001f,	-0.1077f,	1.8853f,
0.5017f,	0.0425f,	1.8514f,
0.506399999999999f,	0.1772f,	1.8221f,
0.5229f,	0.2961f,	1.7974f,
0.550899999999999f,	0.3994f,	1.7775f,
0.590800000000002f,	0.4871f,	1.7622f,
0.642299999999999f,	0.5591f,	1.7516f,
0.705300000000001f,	0.6155f,	1.7457f,
0.780200000000001f,	0.6561f,	1.7444f,
0.866599999999998f,	0.6812f,	1.7478f,
0.964799999999997f,	0.6907f,	1.7559f,
1.0746f,	0.684300000000001f,	1.7687f,
1.1961f,	0.6625f,	1.7861f,
1.3293f,	0.6249f,	1.8083f,
1.4741f,	0.5717f,	1.835f,
1.6306f,	0.502899999999999f,	1.8665f,
1.7987f,	0.4183f,	1.9026f,
1.9786f,	0.318300000000001f,	1.9434f,
2.1702f,	0.202399999999999f,	1.9889f,
2.3733f,	0.0709f,	2.039f,
2.5659f,	-0.0419999999999998f,	1.9457f,
2.7273f,	-0.1206f,	1.70959999999999f,
2.87f,	-0.190799999999999f,	1.47970000000001f,
2.9936f,	-0.2529f,	1.25579999999999f,
3.0983f,	-0.3066f,	1.0378f,
3.1841f,	-0.352f,	0.825999999999993f,
3.251f,	-0.3893f,	0.620199999999997f,
3.299f,	-0.418200000000001f,	0.420500000000004f,
3.3281f,	-0.438899999999999f,	0.226700000000008f,
3.3382f,	-0.4512f,	0.0390999999999906f,
3.3294f,	-0.455500000000001f,	-0.142499999999998f,
3.3018f,	-0.4512f,	-0.318200000000004f,
3.2551f,	-0.4389f,	-0.48769999999999f,
3.1896f,	-0.4182f,	-0.651200000000003f,
3.1051f,	-0.3893f,	-0.808599999999998f,
3.0018f,	-0.352f,	-0.960099999999997f,
2.8795f,	-0.3066f,	-1.1054f,
2.7383f,	-0.252899999999999f,	-1.2448f,
2.5781f,	-0.1908f,	-1.378f,
2.3992f,	-0.1206f,	-1.50530000000001f,
2.2011f,	-0.0419999999999998f,	-1.62649999999999f,
2.0045f,	0.0543999999999993f,	-1.92190000000001f,
1.82839999999999f,	0.1585f,	-2.369f,
1.6627f,	0.2557f,	-2.7764f,
1.5073f,	0.3459f,	-3.14400000000001f,
1.362f,	0.4293f,	-3.4716f,
1.2271f,	0.5056f,	-3.7597f,
1.1024f,	0.575f,	-4.0078f,
0.988f,	0.637499999999999f,	-4.2161f,
0.883899999999997f,	0.693f,	-4.3846f,
0.789900000000003f,	0.7416f,	-4.5134f,
0.706299999999999f,	0.783300000000001f,	-4.6024f,
0.632899999999999f,	0.8179f,	-4.6515f,
0.569800000000001f,	0.845700000000001f,	-4.6608f,
0.5169f,	0.8665f,	-4.6304f,
0.474299999999999f,	0.8804f,	-4.5602f,
0.442099999999996f,	0.8872f,	-4.45f,
0.419900000000005f,	0.8873f,	-4.3003f,
0.408199999999994f,	0.880299999999998f,	-4.1105f,
0.406600000000005f,	0.866400000000002f,	-3.8812f,
0.415300000000002f,	0.845499999999998f,	-3.6118f,
0.4343f,	0.817800000000002f,	-3.3028f,
0.4056f,	0.8598f,	-3.0809f,
0.326499999999996f,	0.966200000000001f,	-2.9764f,
0.253599999999999f,	1.0571f,	-2.8777f,
0.186600000000006f,	1.1326f,	-2.7845f,
0.125699999999995f,	1.1927f,	-2.6973f,
0.0710000000000051f,	1.2373f,	-2.6155f,
0.0222999999999942f,	1.2667f,	-2.5396f,
-0.0202999999999989f,	1.2805f,	-2.4693f,
-0.0567999999999955f,	1.279f,	-2.4048f,
-0.0872000000000028f,	1.262f,	-2.346f,
-0.111499999999999f,	1.2297f,	-2.2928f,
-0.129800000000003f,	1.1819f,	-2.2453f,
-0.141999999999996f,	1.1187f,	-2.2036f,
-0.148099999999999f,	1.04f,	-2.16759999999999f,
-0.148000000000003f,	0.946099999999994f,	-2.1372f,
-0.141999999999996f,	0.836600000000004f,	-2.1127f,
-0.129800000000003f,	0.7119f,	-2.0936f,
-0.111499999999999f,	0.5715f,	-2.0805f,
-0.087299999999999f,	0.415900000000001f,	-2.0729f,
-0.0566999999999993f,	0.244900000000001f,	-2.0711f,
-0.0202999999999989f,	0.0582999999999956f,	-2.075f,
0.019599999999997f,	-0.140000000000001f,	-2.035f,
0.0549999999999997f,	-0.329299999999996f,	-1.953f,
0.0844000000000023f,	-0.502700000000004f,	-1.8796f,
0.107999999999997f,	-0.660299999999999f,	-1.81480000000001f,
0.125599999999999f,	-0.802f,	-1.75869999999999f,
0.1374f,	-0.927799999999998f,	-1.7111f,
0.143300000000004f,	-1.0376f,	-1.6722f,
0.1434f,	-1.1317f,	-1.6418f,
0.1374f,	-1.2098f,	-1.6202f,
0.125599999999999f,	-1.272f,	-1.607f,
0.108000000000004f,	-1.3184f,	-1.60249999999999f,
0.0843999999999951f,	-1.3489f,	-1.6066f,
0.0549999999999997f,	-1.3634f,	-1.61930000000001f,
0.0196000000000041f,	-1.3622f,	-1.64059999999999f,
-0.0215999999999994f,	-1.345f,	-1.6705f,
-0.0686999999999998f,	-1.3119f,	-1.70910000000001f,
-0.121700000000004f,	-1.2629f,	-1.75619999999999f,
-0.180599999999998f,	-1.1982f,	-1.812f,
-0.245400000000004f,	-1.1173f,	-1.8764f,
-0.316099999999999f,	-1.0208f,	-1.94929999999999f,
-0.392599999999995f,	-0.908300000000001f,	-2.0308f,
-0.399600000000007f,	-0.860199999999999f,	-2.11490000000001f,
-0.343899999999998f,	-0.8827f,	-2.1904f,
-0.304299999999998f,	-0.8985f,	-2.2582f,
-0.280900000000003f,	-0.9079f,	-2.31870000000001f,
-0.273600000000002f,	-0.910400000000001f,	-2.37129999999999f,
-0.282499999999999f,	-0.906499999999999f,	-2.4165f,
-0.307499999999997f,	-0.896000000000001f,	-2.45400000000001f,
-0.348799999999997f,	-0.8787f,	-2.48389999999999f,
-0.406200000000005f,	-0.854999999999999f,	-2.50620000000001f,
-0.479799999999997f,	-0.8245f,	-2.521f,
-0.569400000000002f,	-0.787500000000001f,	-2.52809999999999f,
-0.6753f,	-0.7439f,	-2.52759999999999f,
-0.797399999999996f,	-0.6937f,	-2.5196f,
-0.935600000000001f,	-0.6368f,	-2.50390000000002f,
-1.0899f,	-0.5734f,	-2.48060000000001f,
-1.2605f,	-0.503299999999999f,	-2.44969999999998f,
-1.4471f,	-0.426600000000001f,	-2.41130000000001f,
-1.65000000000001f,	-0.3433f,	-2.36519999999999f,
-1.869f,	-0.2534f,	-2.31150000000002f,
-2.1042f,	-0.1569f,	-2.25019999999998f,
-2.3555f,	-0.0538000000000003f,	-2.1814f,
-2.5459f,	0.0724f,	-2.05200000000002f,
-2.6571f,	0.2077f,	-1.8663f,
-2.7571f,	0.3288f,	-1.6788f,
-2.846f,	0.4355f,	-1.48990000000001f,
-2.9236f,	0.5281f,	-1.29929999999999f,
-2.9899f,	0.6065f,	-1.10720000000001f,
-3.0452f,	0.670500000000001f,	-0.913399999999996f,
-3.0892f,	0.7204f,	-0.718099999999993f,
-3.1219f,	0.756f,	-0.521300000000025f,
-3.1436f,	0.7774f,	-0.322699999999998f,
-3.1539f,	0.7844f,	-0.122799999999984f,
-3.1531f,	0.7774f,	0.0789999999999793f,
-3.1411f,	0.756f,	0.282200000000017f,
-3.1179f,	0.7204f,	0.486899999999991f,
-3.0835f,	0.670500000000001f,	0.693399999999997f,
-3.0378f,	0.606499999999999f,	0.90130000000002f,
-2.981f,	0.5281f,	1.11089999999999f,
-2.9129f,	0.435500000000001f,	1.32210000000001f,
-2.8337f,	0.328799999999999f,	1.53479999999999f,
-2.7433f,	0.207700000000001f,	1.749f,
21.0943f,	-14.2855f,	154.2289f
